run_prevention_rank,pitcher_name,team,appearances,pitches,runs_allowed,outs_recorded,innings_pitched,runs_per_9,reliability,adjusted_runs_per_9,run_prevention_score
274,"Senzatela, Antonio",Milwaukee Brewers,11,186,8,32,10.666666666666666,6.75,0.3548387096774194,5.529668750607026,39.446860494164795
275,"Macko, Adam",Toronto Blue Jays,21,379,14,61,20.33333333333333,6.19672131147541,0.5121951219512195,5.543923873409791,39.19788673806826
276,"Ginkel, Kevin",Arizona Diamondbacks,61,907,36,168,56.0,5.785714285714287,0.7530864197530864,5.556769169103572,38.973536407222234
277,"Gray, Peyton",Texas Rangers,48,939,36,166,55.333333333333336,5.855421686746988,0.7058823529411765,5.562205474009901,38.87858827730838
278,"Davis, Tyler",Chicago White Sox,24,403,18,79,26.33333333333333,6.151898734177215,0.5454545454545454,5.56398411111525,38.84752337755421
279,"Walker, Josh",Baltimore Orioles,18,300,13,55,18.33333333333333,6.381818181818182,0.47368421052631576,5.5800646984617135,38.56666685409369
280,"Beeter, Clayton",Washington Nationals,45,719,28,128,42.66666666666666,5.90625,0.6923076923076923,5.583861250289505,38.50035793610968
281,"Sousa, Bennett",Houston Astros,22,321,13,56,18.666666666666668,6.267857142857142,0.5238095238095238,5.596728295516071,38.27562773741223
282,"Dion, Will",Cleveland Guardians,12,306,15,59,19.666666666666668,6.864406779661016,0.375,5.610706644523438,38.03148799168395
283,"Ahlstrom, Robby",Texas Rangers,36,546,21,94,31.33333333333333,6.031914893617022,0.6428571428571429,5.612833347125546,37.99434393180644
284,"Fernandez, Ryan",St. Louis Cardinals,15,336,15,61,20.33333333333333,6.639344262295082,0.42857142857142855,5.621711291521258,37.83928562798125
285,"Williams, Devin",New York Mets,42,732,26,117,39.0,6.0,0.6774193548387096,5.631769859174481,37.66360707338555
286,"Brazobán, Huascar",Chicago White Sox,10,166,8,30,10.0,7.2,0.3333333333333333,5.638991042293927,37.53748503925192
287,"Alvarado, Elvis",Athletics,45,765,30,135,45.0,6.0,0.6923076923076923,5.64876509644335,37.36677567339498
288,"Domínguez, Seranthony",Seattle Mariners,12,203,8,31,10.333333333333334,6.967741935483871,0.375,5.649457327957009,37.354685459762415
289,"Alvarado, José",Philadelphia Phillies,55,944,32,145,48.333333333333336,5.958620689655172,0.7333333333333333,5.665251589331364,37.07882978082146
290,"Sanmartin, Reiver",San Francisco Giants,15,236,11,44,14.666666666666666,6.75,0.42857142857142855,5.66913517910908,37.011000695974246
291,"Yoho, Craig",Cleveland Guardians,11,202,9,34,11.333333333333334,7.147058823529411,0.3548387096774194,5.670560591214237,36.98610506997954
292,"Mattson, Isaac",Pittsburgh Pirates,37,689,25,110,36.66666666666666,6.136363636363637,0.6491228070175439,5.687985716039867,36.68176544146041
293,"Hill, Jaden",Colorado Rockies,36,553,21,92,30.666666666666668,6.163043478260869,0.6428571428571429,5.697130294396591,36.52205022519085
294,"Zerpa, Angel",Milwaukee Brewers,12,216,10,38,12.666666666666666,7.105263157894737,0.375,5.701027786361084,36.45397833081422
295,"Vodnik, Victor",Colorado Rockies,33,630,25,108,36.0,6.25,0.6226415094339622,5.724900589977695,36.0370263573223
296,"Moll, Sam",Cincinnati Reds,64,1056,37,166,55.333333333333336,6.018072289156627,0.7619047619047619,5.741980449700499,35.738716978467735
297,"Backhus, Kyle",Philadelphia Phillies,20,339,14,57,19.0,6.63157894736842,0.5,5.745032755404656,35.68540673860284
298,"Parker, Mitchell",Washington Nationals,22,665,29,119,39.66666666666666,6.57983193277311,0.5238095238095238,5.7601436616625294,35.42148624201368
299,"Mejia, Juan",Colorado Rockies,52,1047,38,168,56.0,6.107142857142858,0.7222222222222222,5.760293886670089,35.418862477567075
300,"Gibson, Cade",Miami Marlins,32,677,26,111,37.0,6.324324324324325,0.6153846153846154,5.760540570138389,35.414554011725066
301,"Agnos, Zach",Colorado Rockies,32,1120,48,204,68.0,6.352941176470589,0.6153846153846154,5.778150940689936,35.106978962170245
302,"Kittredge, Andrew",Baltimore Orioles,48,630,29,127,42.333333333333336,6.165354330708661,0.7058823529411765,5.780981457982847,35.05754238194131
303,"Lange, Alex",Kansas City Royals,51,966,36,158,52.66666666666666,6.151898734177215,0.7183098591549296,5.787557277631772,34.942691984644924
304,"Orze, Eric",Minnesota Twins,36,685,29,124,41.333333333333336,6.314516129032257,0.6428571428571429,5.794505569892484,34.821336143201705
305,"Zeferjahn, Ryan",Chicago Cubs,10,168,8,28,9.333333333333334,7.7142857142857135,0.3333333333333333,5.810419613722499,34.54338839614511
306,"Bigge, Hunter",Tampa Bay Rays,18,323,15,58,19.33333333333333,6.982758620689655,0.47368421052631576,5.864720695821885,33.59498938496523
307,"Adams, Travis",Minnesota Twins,32,756,32,133,44.333333333333336,6.496240601503759,0.6153846153846154,5.86633520224881,33.56679112003863
308,"Beck, Tristan",San Francisco Giants,11,247,12,42,14.0,7.7142857142857135,0.3548387096774194,5.871834649224538,33.4707401782863
309,"Romano, Jordan",Los Angeles Angels,11,192,7,24,8.0,7.875,0.3548387096774194,5.928862298994123,32.474720125639884
310,"Bird, Jake",New York Yankees,36,545,22,91,30.33333333333333,6.527472527472527,0.6428571428571429,5.931406111746943,32.43029100183374
311,"Thompson, Ryan",Arizona Diamondbacks,46,667,29,122,40.66666666666666,6.418032786885246,0.696969696969697,5.945443022205139,32.18512844735263
312,"Akin, Keegan",Baltimore Orioles,22,412,18,70,23.33333333333333,6.942857142857143,0.5238095238095238,5.950299724087499,32.10030341100447
313,"Santana, Dennis",Pittsburgh Pirates,44,711,30,125,41.66666666666666,6.48,0.6875,5.973277051075279,31.698991441661338
314,"Lawrence, Justin",Pittsburgh Pirates,23,395,17,66,22.0,6.954545454545454,0.5348837209302325,5.979634342403797,31.58795776467652
315,"Seabold, Connor",Detroit Tigers,11,278,14,47,15.666666666666666,8.042553191489363,0.3548387096774194,5.9883166572645425,31.43631624096595
316,"Winn, Cole",Texas Rangers,50,776,34,142,47.333333333333336,6.464788732394366,0.7142857142857143,6.005845255550517,31.130169390128604
317,"Cosgrove, Tom",Washington Nationals,17,248,13,47,15.666666666666666,7.468085106382978,0.4594594594594595,6.057491299387256,30.22814211898752
318,"Hoppe, Alex",Seattle Mariners,24,477,22,84,28.0,7.071428571428571,0.5454545454545454,6.065545840525081,30.087465017256115
319,"Anderson, Shaun",Los Angeles Angels,12,351,18,60,20.0,8.1,0.375,6.074054102150557,29.9388634314223
320,"Barlow, Scott",Athletics,36,589,25,100,33.333333333333336,6.75,0.6428571428571429,6.074459486943176,29.93178315748294
321,"Young, Danny",Atlanta Braves,15,248,10,35,11.666666666666666,7.714285714285715,0.42857142857142855,6.082400485231529,29.793089145627487
322,"Banda, Anthony",Minnesota Twins,39,610,26,104,34.666666666666664,6.75,0.6610169491525424,6.108809004556234,29.33184946778029
323,"Rodríguez, Yariel",Toronto Blue Jays,10,172,9,28,9.333333333333334,8.678571428571427,0.3333333333333333,6.13184818515107,28.92945719031987
